,Age,Attrition,BusinessTravel,Department,DistanceFromHome,Education,EducationField,Gender,JobLevel,JobRole,MaritalStatus,MonthlyIncome,NumCompaniesWorked,PercentSalaryHike,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,YearsAtCompany,YearsSinceLastPromotion,EnvironmentSatisfaction,JobSatisfaction,WorkLifeBalance,JobInvolvement
0,51,No,Travel_Rarely,Sales,6,2,Life Sciences,Female,1,Healthcare Representative,Married,131160,1.0,11,0,1.0,6,1,0,3.0,4.0,2.0,3
1,31,Yes,Travel_Frequently,Research & Development,10,1,Life Sciences,Female,1,Research Scientist,Single,41890,0.0,23,1,6.0,3,5,1,3.0,2.0,4.0,2
2,32,No,Travel_Frequently,Research & Development,17,4,Other,Male,4,Sales Executive,Married,193280,1.0,15,3,5.0,2,5,0,2.0,2.0,1.0,3
3,38,No,Non-Travel,Research & Development,2,5,Life Sciences,Male,3,Human Resources,Married,83210,3.0,11,3,13.0,5,8,7,4.0,4.0,3.0,2
4,32,No,Travel_Rarely,Research & Development,10,1,Medical,Male,1,Sales Executive,Single,23420,4.0,12,2,9.0,2,6,0,4.0,1.0,3.0,3
5,46,No,Travel_Rarely,Research & Development,8,3,Life Sciences,Female,4,Research Director,Married,40710,3.0,13,0,28.0,5,7,7,3.0,2.0,2.0,3
6,28,Yes,Travel_Rarely,Research & Development,11,2,Medical,Male,2,Sales Executive,Single,58130,2.0,20,1,5.0,2,0,0,1.0,3.0,1.0,3
7,29,No,Travel_Rarely,Research & Development,18,3,Life Sciences,Male,2,Sales Executive,Married,31430,2.0,22,3,10.0,2,0,0,1.0,2.0,3.0,3
8,31,No,Travel_Rarely,Research & Development,1,3,Life Sciences,Male,3,Laboratory Technician,Married,20440,0.0,21,0,10.0,2,9,7,2.0,4.0,3.0,3
9,25,No,Non-Travel,Research & Development,7,4,Medical,Female,4,Laboratory Technician,Divorced,134640,1.0,13,1,6.0,2,6,1,2.0,1.0,3.0,3
10,45,No,Travel_Rarely,Research & Development,17,2,Medical,Male,2,Laboratory Technician,Married,79910,0.0,13,2,21.0,2,20,4,3.0,4.0,3.0,2
11,36,No,Travel_Rarely,Research & Development,28,1,Life Sciences,Male,1,Laboratory Technician,Married,33770,0.0,12,2,16.0,2,15,10,2.8,4.0,3.0,3
12,55,No,Travel_Rarely,Research & Development,14,4,Life Sciences,Female,1,Sales Executive,Single,55380,0.0,17,0,37.0,2,36,4,4.0,1.0,3.0,3
13,47,Yes,Non-Travel,Research & Development,1,1,Medical,Male,1,Research Scientist,Married,57620,1.0,11,2,10.0,4,10,9,1.0,2.0,2.0,2
14,28,No,Travel_Rarely,Research & Development,1,3,Life Sciences,Male,1,Manufacturing Director,Married,25920,1.0,14,0,5.0,2,5,0,4.0,4.0,2.0,3
15,37,No,Travel_Rarely,Research & Development,1,3,Life Sciences,Male,2,Healthcare Representative,Married,53460,4.0,11,0,7.0,2,5,0,3.0,4.0,4.0,3
16,21,No,Travel_Rarely,Research & Development,3,2,Life Sciences,Male,1,Laboratory Technician,Single,42130,1.0,12,3,3.0,3,3,1,4.0,3.0,4.0,2
17,37,No,Non-Travel,Research & Development,1,3,Medical,Male,2,Sales Executive,Divorced,41270,2.0,13,1,15.0,2,5,0,1.0,4.0,3.0,3
18,35,No,Travel_Rarely,Sales,7,4,Life Sciences,Male,1,Sales Representative,Divorced,24380,7.0,16,0,10.0,5,7,6,2.0,2.0,2.0,2
19,38,No,Travel_Rarely,Research & Development,8,3,Life Sciences,Female,1,Manager,Divorced,68700,1.0,11,1,8.0,5,8,7,1.0,1.0,3.0,3
20,26,No,Travel_Frequently,Research & Development,1,4,Other,Male,2,Laboratory Technician,Divorced,104470,1.0,18,0,6.0,3,6,1,3.0,2.0,1.0,3
21,50,No,Travel_Rarely,Sales,8,4,Life Sciences,Male,1,Research Scientist,Divorced,96670,3.0,23,0,28.0,2,10,1,1.0,2.0,2.0,2
22,53,No,Travel_Rarely,Research & Development,11,4,Life Sciences,Female,2,Research Scientist,Married,21480,3.0,11,0,21.0,2,5,1,3.0,3.0,2.0,3
23,42,No,Travel_Rarely,Research & Development,4,4,Life Sciences,Male,1,Manufacturing Director,Married,89260,1.0,14,0,11.0,4,20,11,2.0,3.0,3.0,1
24,29,No,Travel_Frequently,Research & Development,16,4,Medical,Male,1,Laboratory Technician,Single,65130,1.0,11,1,10.0,2,10,0,2.0,4.0,2.0,3
25,55,No,Travel_Rarely,Research & Development,1,4,Other,Female,1,Research Scientist,Married,67990,3.0,11,0,12.0,2,10,0,2.0,4.0,3.0,3
26,26,No,Travel_Frequently,Research & Development,9,3,Life Sciences,Female,1,Manager,Married,162910,1.0,22,0,5.0,3,5,3,1.0,1.0,3.0,3
27,37,No,Travel_Rarely,Sales,5,1,Marketing,Male,1,Research Scientist,Single,27050,1.0,11,0,17.0,2,17,5,4.0,4.0,3.0,3
28,44,Yes,Travel_Frequently,Research & Development,1,2,Medical,Male,2,Research Scientist,Divorced,103330,3.0,14,1,19.0,2,1,0,4.0,3.0,1.0,2
29,38,No,Travel_Rarely,Sales,2,3,Marketing,Female,1,Manager,Divorced,44480,9.0,12,0,10.0,3,2,1,4.0,4.0,3.0,2
30,26,Yes,Travel_Rarely,Research & Development,4,3,Medical,Male,3,Research Scientist,Divorced,68540,2.0,11,0,5.0,5,3,0,1.0,2.0,3.0,2
31,28,No,Travel_Rarely,Research & Development,7,3,Other,Male,1,Human Resources,Single,96370,1.0,13,0,5.0,6,5,0,4.0,4.0,3.0,2
32,49,No,Travel_Frequently,Research & Development,1,1,Medical,Female,2,Research Scientist,Single,35910,9.0,13,0,22.0,2,3,1,3.0,1.0,3.0,3
33,36,No,Travel_Rarely,Sales,5,3,Technical Degree,Male,3,Sales Executive,Single,54050,4.0,14,0,10.0,2,8,7,3.0,2.0,3.0,3
34,31,No,Travel_Frequently,Research & Development,9,4,Medical,Male,1,Sales Executive,Divorced,46840,1.0,16,1,2.0,4,2,2,4.0,2.0,2.0,3
35,26,Yes,Travel_Rarely,Research & Development,8,3,Medical,Male,2,Manager,Single,157870,1.0,12,2,8.0,5,8,7,4.0,4.0,3.0,3
36,37,No,Travel_Frequently,Sales,9,1,Marketing,Male,1,Laboratory Technician,Married,15140,1.0,14,0,4.0,3,4,1,2.0,4.0,2.0,3
37,42,No,Travel_Frequently,Sales,2,2,Marketing,Male,3,Research Director,Married,29560,5.0,13,0,23.0,2,20,4,3.0,2.0,4.0,3
38,18,Yes,Travel_Rarely,Research & Development,1,4,Life Sciences,Male,1,Sales Executive,Single,23350,1.0,14,2,0.0,3,0,0,3.0,3.0,3.0,2
39,35,No,Travel_Rarely,Sales,20,2,Life Sciences,Male,1,Laboratory Technician,Married,51540,0.0,19,0,12.0,2,11,6,3.0,2.0,2.0,2
40,36,No,Travel_Frequently,Research & Development,8,3,Other,Female,3,Sales Executive,Married,69620,4.0,12,2,4.0,2,1,0,3.0,2.6,3.0,2
41,51,No,Travel_Rarely,Research & Development,2,3,Life Sciences,Male,2,Laboratory Technician,Divorced,56750,5.0,13,0,13.0,2,4,1,4.0,2.0,3.0,2
42,41,No,Travel_Rarely,Research & Development,29,1,Life Sciences,Male,1,Laboratory Technician,Single,23790,1.0,12,0,22.0,6,22,0,4.0,2.0,3.0,3
43,18,No,Travel_Rarely,Sales,7,3,Life Sciences,Male,1,Research Scientist,Single,38120,1.0,15,0,0.0,3,0,0,4.0,3.0,3.0,3
44,28,No,Travel_Rarely,Research & Development,9,3,Medical,Male,1,Sales Representative,Single,46480,0.0,23,2,9.0,2,8,0,2.0,1.0,3.0,2
45,31,No,Travel_Rarely,Research & Development,8,1,Technical Degree,Male,1,Manufacturing Director,Married,29360,4.0,12,1,10.0,2,8,7,2.0,4.0,2.0,3
46,39,No,Travel_Rarely,Sales,5,4,Marketing,Female,2,Human Resources,Divorced,21050,0.0,20,0,19.0,3,18,3,3.0,4.0,2.0,3
47,36,No,Non-Travel,Research & Development,5,4,Life Sciences,Male,1,Sales Executive,Married,85780,7.0,21,0,11.0,4,9,0,2.0,2.0,3.0,3
48,32,No,Travel_Rarely,Sales,2,3,Marketing,Male,2,Laboratory Technician,Married,27060,1.0,21,1,13.0,4,13,4,4.0,3.0,2.0,3
49,38,No,Travel_Rarely,Research & Development,5,2,Life Sciences,Female,3,Research Scientist,Married,63840,3.0,19,2,19.0,4,10,0,1.0,2.0,3.0,2
50,58,No,Non-Travel,Research & Development,2,3,Life Sciences,Male,2,Manufacturing Director,Divorced,39680,2.0,13,2,12.0,3,5,1,4.0,3.0,3.0,2
